"filename", "language", "TypeScript", "Vue", "SCSS", "JavaScript React", "CSS", "svg", "JSON", "JavaScript", "HTML", "Markdown", "Ignore", "XML", "Groovy", "comment", "blank", "total"
"d:\Studies\Semester8\Bakalauras\health-system\mobile\app\app.scss", "SCSS", 0, 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10, 59
"d:\Studies\Semester8\Bakalauras\health-system\mobile\app\app.ts", "TypeScript", 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 11, 45
"d:\Studies\Semester8\Bakalauras\health-system\mobile\app\components\App.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 4, 11
"d:\Studies\Semester8\Bakalauras\health-system\mobile\app\components\App.vue", "Vue", 0, 163, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 12, 198
"d:\Studies\Semester8\Bakalauras\health-system\mobile\app\components\Login.vue", "Vue", 0, 301, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 7, 313
"d:\Studies\Semester8\Bakalauras\health-system\mobile\app\components\drawerContent.vue", "Vue", 0, 78, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 81
"d:\Studies\Semester8\Bakalauras\health-system\mobile\app\components\sideDrawer.vue", "Vue", 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 18
"d:\Studies\Semester8\Bakalauras\health-system\mobile\app\mixins\sideDrawer.ts", "TypeScript", 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37
"d:\Studies\Semester8\Bakalauras\health-system\mobile\app\routes\index.ts", "TypeScript", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 28
"d:\Studies\Semester8\Bakalauras\health-system\mobile\app\services\api.service.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 11
"d:\Studies\Semester8\Bakalauras\health-system\mobile\app\store\index.ts", "TypeScript", 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 7, 67
"d:\Studies\Semester8\Bakalauras\health-system\mobile\app\store\modules\sideDrawer.ts", "TypeScript", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 19
"d:\Studies\Semester8\Bakalauras\health-system\mobile\app\style\app.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Studies\Semester8\Bakalauras\health-system\mobile\app\views\About.vue", "Vue", 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 29
"d:\Studies\Semester8\Bakalauras\health-system\mobile\app\views\Activities\Exercises.vue", "Vue", 0, 101, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 104
"d:\Studies\Semester8\Bakalauras\health-system\mobile\app\views\Activities\Exercises\Private.vue", "Vue", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6
"d:\Studies\Semester8\Bakalauras\health-system\mobile\app\views\Activities\Exercises\Public.vue", "Vue", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6
"d:\Studies\Semester8\Bakalauras\health-system\mobile\app\views\Activities\Exercises\Wger.vue", "Vue", 0, 111, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 118
"d:\Studies\Semester8\Bakalauras\health-system\mobile\app\views\Activities\Exercises\WgerDetails.vue", "Vue", 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 57
"d:\Studies\Semester8\Bakalauras\health-system\mobile\app\views\Activities\Workouts.vue", "Vue", 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 29
"d:\Studies\Semester8\Bakalauras\health-system\mobile\app\views\Activities\Workouts\Private.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Studies\Semester8\Bakalauras\health-system\mobile\app\views\Activities\Workouts\Public.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Studies\Semester8\Bakalauras\health-system\mobile\app\views\Activity.vue", "Vue", 0, 105, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 112
"d:\Studies\Semester8\Bakalauras\health-system\mobile\app\views\ActivityDetails.vue", "Vue", 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 54
"d:\Studies\Semester8\Bakalauras\health-system\mobile\app\views\ActivityDetailsEdit.vue", "Vue", 0, 157, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 42, 34, 233
"d:\Studies\Semester8\Bakalauras\health-system\mobile\app\views\Food\Meals.vue", "Vue", 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 29
"d:\Studies\Semester8\Bakalauras\health-system\mobile\app\views\Food\Recipes.vue", "Vue", 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 3, 56
"d:\Studies\Semester8\Bakalauras\health-system\mobile\app\views\Food\Recipes\SpooncularDetails.vue", "Vue", 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 31
"d:\Studies\Semester8\Bakalauras\health-system\mobile\app\views\Health\Focus.vue", "Vue", 0, 87, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 98
"d:\Studies\Semester8\Bakalauras\health-system\mobile\app\views\Health\Health.vue", "Vue", 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 51
"d:\Studies\Semester8\Bakalauras\health-system\mobile\app\views\Home.vue", "Vue", 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 63
"d:\Studies\Semester8\Bakalauras\health-system\mobile\app\views\User\Profile.vue", "Vue", 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 28
"d:\Studies\Semester8\Bakalauras\health-system\mobile\hooks\after-prepare\nativescript-webpack.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"d:\Studies\Semester8\Bakalauras\health-system\mobile\hooks\before-checkForChanges\nativescript-core.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"d:\Studies\Semester8\Bakalauras\health-system\mobile\hooks\before-checkForChanges\nativescript-webpack.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"d:\Studies\Semester8\Bakalauras\health-system\mobile\nativescript.config.ts", "TypeScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
"d:\Studies\Semester8\Bakalauras\health-system\mobile\package-lock.json", "JSON", 0, 0, 0, 0, 0, 0, 8412, 0, 0, 0, 0, 0, 0, 0, 1, 8413
