"filename", "language", "TypeScript", "SCSS", "Vue", "JSON", "svg", "CSS", "JavaScript", "JavaScript React", "HTML", "Markdown", "XML", "Groovy", "Ignore", "comment", "blank", "total"
"d:\Studies\Semester8\Bakalauras\health-system\client\src\services\user.service.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 3, 24
"d:\Studies\Semester8\Bakalauras\health-system\client\src\store\index.js", "JavaScript", 0, 0, 0, 0, 0, 0, 72, 0, 0, 0, 0, 0, 0, 0, 2, 74
"d:\Studies\Semester8\Bakalauras\health-system\client\src\views\About.vue", "Vue", 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 40
"d:\Studies\Semester8\Bakalauras\health-system\client\src\views\Exercises\Exercises.scss", "SCSS", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 13
"d:\Studies\Semester8\Bakalauras\health-system\client\src\views\Exercises\Private.vue", "Vue", 0, 0, 189, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 195
"d:\Studies\Semester8\Bakalauras\health-system\client\src\views\Exercises\Public.vue", "Vue", 0, 0, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 3, 110
"d:\Studies\Semester8\Bakalauras\health-system\client\src\views\Exercises\Wget.vue", "Vue", 0, 0, 95, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 97
"d:\Studies\Semester8\Bakalauras\health-system\client\src\views\Exercises\Workouts.vue", "Vue", 0, 0, 158, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 164
"d:\Studies\Semester8\Bakalauras\health-system\client\src\views\Health\Focus.vue", "Vue", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 18
"d:\Studies\Semester8\Bakalauras\health-system\client\src\views\Health\Progress.vue", "Vue", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7
"d:\Studies\Semester8\Bakalauras\health-system\client\src\views\Health\Sleep.vue", "Vue", 0, 0, 208, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 89, 14, 311
"d:\Studies\Semester8\Bakalauras\health-system\client\src\views\Health\Status.vue", "Vue", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"d:\Studies\Semester8\Bakalauras\health-system\client\src\views\Health\Test.vue", "Vue", 0, 0, 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 4, 68
"d:\Studies\Semester8\Bakalauras\health-system\client\src\views\Home.vue", "Vue", 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 48
"d:\Studies\Semester8\Bakalauras\health-system\client\src\views\Planner.vue", "Vue", 0, 0, 330, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6, 339
"d:\Studies\Semester8\Bakalauras\health-system\client\src\views\Recipes\Private.vue", "Vue", 0, 0, 201, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 206
"d:\Studies\Semester8\Bakalauras\health-system\client\src\views\Recipes\Public.vue", "Vue", 0, 0, 76, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 80
"d:\Studies\Semester8\Bakalauras\health-system\client\src\views\Recipes\Recipes.scss", "SCSS", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 13
"d:\Studies\Semester8\Bakalauras\health-system\client\src\views\Recipes\Spooncular.vue", "Vue", 0, 0, 82, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 86
"d:\Studies\Semester8\Bakalauras\health-system\client\src\views\User\Profile.vue", "Vue", 0, 0, 105, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 109
"d:\Studies\Semester8\Bakalauras\health-system\client\src\views\User\Settings.vue", "Vue", 0, 0, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 107
"d:\Studies\Semester8\Bakalauras\health-system\client\src\views\scss\About.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Studies\Semester8\Bakalauras\health-system\client\src\views\scss\Home.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Studies\Semester8\Bakalauras\health-system\client\src\views\scss\Planner.scss", "SCSS", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 13
"d:\Studies\Semester8\Bakalauras\health-system\client\tests\unit\example.spec.js", "JavaScript", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 2, 14
"d:\Studies\Semester8\Bakalauras\health-system\docs\info.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 9, 23
"d:\Studies\Semester8\Bakalauras\health-system\mobile\App_Resources\Android\app.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 8, 4, 21
"d:\Studies\Semester8\Bakalauras\health-system\mobile\App_Resources\Android\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 0, 0, 0, 7, 41
"d:\Studies\Semester8\Bakalauras\health-system\mobile\App_Resources\Android\src\main\res\drawable-nodpi\splash_screen.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 8
